audio_path,text,is_correct,word_positions
..\data\audio\sentence_01_var1.wav,Утром я пью горячий кофе,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_01_var2.wav,Я пью горячий кофе утром,1,"[2, 3, 4, 5, 1]"
..\data\audio\sentence_01_var3.wav,Горячий кофе я пью утром,1,"[4, 2, 3, 1, 5]"
..\data\audio\sentence_01_var4.wav,Пью утром кофе я горячий,0,"[3, 1, 5, 2, 4]"
..\data\audio\sentence_02_var1.wav,Собака гоняется за мячом в парке,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_02_var2.wav,В парке собака гоняется за мячом,1,"[5, 1, 2, 3, 4, 6]"
..\data\audio\sentence_02_var3.wav,За мячом в парке гоняется собака,1,"[4, 5, 6, 3, 2, 1]"
..\data\audio\sentence_02_var4.wav,Гоняется парке в мячом за собака,0,"[3, 6, 5, 4, 2, 1]"
..\data\audio\sentence_03_var1.wav,Дети рисуют красками на бумаге,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_03_var2.wav,На бумаге дети рисуют красками,1,"[5, 1, 2, 3, 4]"
..\data\audio\sentence_03_var3.wav,Красками дети рисуют на бумаге,1,"[3, 1, 2, 5, 4]"
..\data\audio\sentence_03_var4.wav,Рисуют бумаге на красками дети,0,"[2, 5, 4, 3, 1]"
..\data\audio\sentence_04_var1.wav,Вечером мы смотрим новый фильм,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_04_var2.wav,Новый фильм мы смотрим вечером,1,"[4, 2, 3, 1, 5]"
..\data\audio\sentence_04_var3.wav,Мы вечером смотрим новый фильм,1,"[2, 1, 3, 4, 5]"
..\data\audio\sentence_04_var4.wav,Смотрим мы новый вечером фильм,0,"[3, 2, 4, 1, 5]"
..\data\audio\sentence_05_var1.wav,В саду цветут красные розы,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_05_var2.wav,Красные розы цветут в саду,1,"[4, 5, 3, 1, 2]"
..\data\audio\sentence_05_var3.wav,Цветут в саду красные розы,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_05_var4.wav,Розы красные в саду цветут,0,"[5, 4, 1, 2, 3]"
..\data\audio\sentence_06_var1.wav,Мальчик играет в футбол с друзьями,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_06_var2.wav,С друзьями мальчик играет в футбол,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_06_var3.wav,В футбол мальчик играет с друзьями,1,"[3, 4, 1, 2, 5, 6]"
..\data\audio\sentence_06_var4.wav,Играет мальчик друзьями в с футбол,0,"[2, 1, 6, 3, 5, 4]"
..\data\audio\sentence_07_var1.wav,Дождь идёт уже целый час,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_07_var2.wav,Уже целый час дождь идёт,1,"[3, 4, 5, 1, 2]"
..\data\audio\sentence_07_var3.wav,Целый час уже дождь идёт,1,"[4, 5, 3, 1, 2]"
..\data\audio\sentence_07_var4.wav,Идёт дождь целый уже час,0,"[2, 1, 4, 3, 5]"
..\data\audio\sentence_08_var1.wav,Студенты пишут конспекты в библиотеке,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_08_var2.wav,В библиотеке студенты пишут конспекты,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_08_var3.wav,Конспекты студенты пишут в библиотеке,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_08_var4.wav,Пишут в студенты библиотеке конспекты,0,"[2, 4, 1, 5, 3]"
..\data\audio\sentence_09_var1.wav,Солнце светит ярко на небе,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_09_var2.wav,На небе солнце светит ярко,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_09_var3.wav,Ярко светит солнце на небе,1,"[3, 2, 1, 4, 5]"
..\data\audio\sentence_09_var4.wav,Светит ярко небе на солнце,0,"[2, 3, 5, 4, 1]"
..\data\audio\sentence_10_var1.wav,Мама варит суп на кухне,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_10_var2.wav,На кухне мама варит суп,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_10_var3.wav,Суп мама варит на кухне,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_10_var4.wav,Варит мама кухне на суп,0,"[2, 1, 5, 4, 3]"
..\data\audio\sentence_11_var1.wav,Поезд отправляется с платформы через пять минут,1,"[1, 2, 3, 4, 5, 6, 7]"
..\data\audio\sentence_11_var2.wav,Через пять минут поезд отправляется с платформы,1,"[5, 6, 7, 1, 2, 3, 4]"
..\data\audio\sentence_11_var3.wav,С платформы поезд отправляется через пять минут,1,"[3, 4, 1, 2, 5, 6, 7]"
..\data\audio\sentence_11_var4.wav,Отправляется платформы с поезд минут пять через,0,"[2, 4, 3, 1, 7, 6, 5]"
..\data\audio\sentence_12_var1.wav,Книга лежит на столе рядом с лампой,1,"[1, 2, 3, 4, 5, 6, 7]"
..\data\audio\sentence_12_var2.wav,Рядом с лампой книга лежит на столе,1,"[5, 6, 7, 1, 2, 3, 4]"
..\data\audio\sentence_12_var3.wav,На столе книга лежит рядом с лампой,1,"[3, 4, 1, 2, 5, 6, 7]"
..\data\audio\sentence_12_var4.wav,Лежит книга лампой с рядом столе на,0,"[2, 1, 7, 6, 5, 4, 3]"
..\data\audio\sentence_13_var1.wav,Ветер гонит тучи над городом,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_13_var2.wav,Над городом ветер гонит тучи,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_13_var3.wav,Тучи ветер гонит над городом,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_13_var4.wav,Гонит городом над тучи ветер,0,"[2, 5, 4, 3, 1]"
..\data\audio\sentence_14_var1.wav,Папа чинит машину в гараже,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_14_var2.wav,В гараже папа чинит машину,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_14_var3.wav,Машину папа чинит в гараже,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_14_var4.wav,Чинит папа гараже в машину,0,"[2, 1, 5, 4, 3]"
..\data\audio\sentence_15_var1.wav,Луна светит ярко в ночном небе,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_15_var2.wav,В ночном небе луна светит ярко,1,"[4, 5, 6, 1, 2, 3]"
..\data\audio\sentence_15_var3.wav,Ярко светит луна в ночном небе,1,"[3, 2, 1, 4, 5, 6]"
..\data\audio\sentence_15_var4.wav,Светит луна ночном в ярко небе,0,"[2, 1, 5, 4, 3, 6]"
..\data\audio\sentence_16_var1.wav,Ученики решают задачи у доски,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_16_var2.wav,У доски ученики решают задачи,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_16_var3.wav,Задачи ученики решают у доски,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_16_var4.wav,Решают ученики доски у задачи,0,"[2, 1, 5, 4, 3]"
..\data\audio\sentence_17_var1.wav,Река течёт быстро после дождя,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_17_var2.wav,После дождя река течёт быстро,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_17_var3.wav,Быстро течёт река после дождя,1,"[3, 2, 1, 4, 5]"
..\data\audio\sentence_17_var4.wav,Течёт дождя после река быстро,0,"[2, 5, 4, 1, 3]"
..\data\audio\sentence_18_var1.wav,Бабушка вяжет шарф для внучки,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_18_var2.wav,Для внучки бабушка вяжет шарф,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_18_var3.wav,Шарф бабушка вяжет для внучки,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_18_var4.wav,Вяжет бабушка внучки для шарф,0,"[2, 1, 5, 4, 3]"
..\data\audio\sentence_19_var1.wav,Самолёт взлетает с взлётной полосы,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_19_var2.wav,С взлётной полосы самолёт взлетает,1,"[3, 4, 5, 1, 2]"
..\data\audio\sentence_19_var3.wav,Взлетает самолёт с взлётной полосы,1,"[2, 1, 3, 4, 5]"
..\data\audio\sentence_19_var4.wav,Взлётной самолёт с полосы взлетает,0,"[4, 1, 3, 5, 2]"
..\data\audio\sentence_20_var1.wav,Фотограф снимает закат на море,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_20_var2.wav,На море фотограф снимает закат,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_20_var3.wav,Закат фотограф снимает на море,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_20_var4.wav,Снимает море на фотограф закат,0,"[2, 5, 4, 1, 3]"
..\data\audio\sentence_21_var1.wav,Повар готовит соус по новому рецепту,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_21_var2.wav,По новому рецепту повар готовит соус,1,"[4, 5, 6, 1, 2, 3]"
..\data\audio\sentence_21_var3.wav,Соус повар готовит по новому рецепту,1,"[3, 1, 2, 4, 5, 6]"
..\data\audio\sentence_21_var4.wav,Готовит повар рецепту новому по соус,0,"[2, 1, 6, 5, 4, 3]"
..\data\audio\sentence_22_var1.wav,Врач назначает лекарство пациенту,1,"[1, 2, 3, 4]"
..\data\audio\sentence_22_var2.wav,Пациенту врач назначает лекарство,1,"[4, 1, 2, 3]"
..\data\audio\sentence_22_var3.wav,Лекарство врач назначает пациенту,1,"[3, 1, 2, 4]"
..\data\audio\sentence_22_var4.wav,Назначает пациенту врач лекарство,0,"[2, 4, 1, 3]"
..\data\audio\sentence_23_var1.wav,Спортсмен бежит по беговой дорожке,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_23_var2.wav,По беговой дорожке спортсмен бежит,1,"[3, 4, 5, 1, 2]"
..\data\audio\sentence_23_var3.wav,Бежит спортсмен по беговой дорожке,1,"[2, 1, 3, 4, 5]"
..\data\audio\sentence_23_var4.wav,Беговой спортсмен по дорожке бежит,0,"[4, 1, 3, 5, 2]"
..\data\audio\sentence_24_var1.wav,Птицы улетают на юг осенью,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_24_var2.wav,Осенью птицы улетают на юг,1,"[5, 1, 2, 3, 4]"
..\data\audio\sentence_24_var3.wav,На юг птицы улетают осенью,1,"[3, 4, 1, 2, 5]"
..\data\audio\sentence_24_var4.wav,Улетают осенью юг на птицы,0,"[2, 5, 4, 3, 1]"
..\data\audio\sentence_25_var1.wav,Официант подаёт кофе с молоком,1,"[1, 2, 3, 4, 5]"
..\data\audio\sentence_25_var2.wav,С молоком официант подаёт кофе,1,"[4, 5, 1, 2, 3]"
..\data\audio\sentence_25_var3.wav,Кофе официант подаёт с молоком,1,"[3, 1, 2, 4, 5]"
..\data\audio\sentence_25_var4.wav,Подаёт официант молоком с кофе,0,"[2, 1, 5, 4, 3]"
..\data\audio\sentence_26_var1.wav,Зимой дети лепят снеговика во дворе,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_26_var2.wav,Во дворе зимой дети лепят снеговика,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_26_var3.wav,Снеговика зимой дети лепят во дворе,1,"[4, 1, 2, 3, 5, 6]"
..\data\audio\sentence_26_var4.wav,Лепят зимой дети двор во снеговика,0,"[3, 1, 2, 6, 5, 4]"
..\data\audio\sentence_27_var1.wav,Музыкант играет на скрипке в оркестре,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_27_var2.wav,В оркестре музыкант играет на скрипке,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_27_var3.wav,На скрипке музыкант играет в оркестре,1,"[3, 4, 1, 2, 5, 6]"
..\data\audio\sentence_27_var4.wav,Играет музыкант оркестре в на скрипке,0,"[2, 1, 6, 5, 3, 4]"
..\data\audio\sentence_28_var1.wav,Рыбаки ловят рыбу в озере на рассвете.,1,"[1, 2, 3, 4, 5, 6, 7]"
..\data\audio\sentence_28_var2.wav,На рассвете рыбаки ловят рыбу в озере.,1,"[6, 7, 1, 2, 3, 4, 5]"
..\data\audio\sentence_28_var3.wav,В озере рыбаки ловят рыбу на рассвете.,1,"[4, 5, 1, 2, 3, 6, 7]"
..\data\audio\sentence_28_var4.wav,Ловят рыбаки рассвете на в озере рыбу.,0,"[2, 1, 7, 6, 4, 5, 3]"
..\data\audio\sentence_29_var1.wav,Художник рисует портрет маслом на холсте.,1,"[1, 2, 3, 4, 5, 6]"
..\data\audio\sentence_29_var2.wav,На холсте художник рисует портрет маслом.,1,"[5, 6, 1, 2, 3, 4]"
..\data\audio\sentence_29_var3.wav,Маслом художник рисует портрет на холсте.,1,"[4, 1, 2, 3, 5, 6]"
..\data\audio\sentence_29_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_30_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_31_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_32_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_33_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_34_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_35_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_36_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_37_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_38_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_39_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_40_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_41_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_42_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_43_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_44_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_45_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_46_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_47_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_48_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_49_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var1.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var2.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var3.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
..\data\audio\sentence_50_var4.wav,Рисует портрет холсте на художник маслом.,0,"[2, 3, 6, 5, 1, 4]"
